"Graphe8"
"Déplacement angulaire (deg)","Déplacement angulaire3 (deg)"
-94.8536606791842,-13.233876805186
-93.4190742130189,-13.7615593685422
-91.9844877468535,-14.2509921288748
-90.549901280688,-14.7026876063183
-89.1153148145227,-15.11724204242
-87.6807283483573,-15.4953227348182
-86.246141882192,-15.8376564732731
-84.8115554160267,-16.1450190555294
-83.3769689498614,-16.4182258449019
-81.942382483696,-16.6581233193452
-80.5077960175301,-16.8655815539478
-79.0732095513647,-17.0414875736304
-77.6386230851998,-17.1867395106074
-76.2040366190339,-17.3022415005688
-74.7694501528685,-17.388899252684
-73.3348636867036,-17.4476162306151
-71.9002772205376,-17.479290384643
-70.4656907543722,-17.4848113784002
-69.0311042882073,-17.4650582575452
-67.5965178220414,-17.4208975115151
-66.161931355876,-17.3531814834031
-64.7273448897106,-17.2627470869614
-63.2927584235448,-17.1504147934005
-61.8581719573793,-17.0169878541156
-60.4235854912144,-16.8632517289999
-58.9889990250489,-16.6899736930211
-57.554412558883,-16.4979025965162
-56.1198260927181,-16.2877687575426
-54.6852396265527,-16.0602839669225
-53.2506531603874,-15.8161415886985
-51.8160666942223,-15.5560167409747
-50.3814802280564,-15.2805665437723
-48.9468937618906,-14.990430422017
-47.5123072957256,-14.6862304534958
-46.0777208295601,-14.3685717527619
-44.6431343633944,-14.0380428829843
-43.2085478972293,-13.6952162890597
-41.7739614310639,-13.340648745978
-40.3393749648983,-12.9748818172537
-38.9047884987331,-12.5984423190825
-37.4702020325677,-12.2118427863019
-36.0356155664019,-11.8155819369817
-34.6010291002369,-11.4101451327613
-33.1664426340714,-10.9960048326055
-31.7318561679056,-10.5736210379818
-30.2972697017406,-10.1434417277136
-28.8626832355752,-9.70590328113506
-27.4280967694093,-9.26143088839058
-25.9935103032444,-8.81043894686661
-24.558923837079,-8.35333144302726
-23.1243373709132,-7.89050231901174
-21.6897509047481,-7.4223358235211
-20.2551644385828,-6.94920684664757
-18.8205779724171,-6.47148123835107
-17.3859915062519,-5.98951611046986
-15.9514050400871,-5.50366012217522
-14.5168185739211,-5.01425374881224
-13.0822321077556,-4.52162953424315
-11.6476456415903,-4.02611232678013
-10.2130591754244,-3.52801949883881
-8.77847270925947,-3.02766115057151
-7.34388624309404,-2.52534029771171
-5.9092997769282,-2.02135304390802
-4.47471331076323,-1.51598873791595
-3.04012684459785,-1.00953011600487
-1.60554037843242,-0.502253429983581
-0.170953912266986,0.00557143868533108
1.26363255389839,0.513680878212083
2.69821902006362,1.02181745872074
4.13280548622926,1.52972985683949
5.56739195239413,2.03717279205302
7.00197841856007,2.54390697417708
8.4365648847255,3.04969906129098
9.87115135089052,3.55432162742527
11.3057378170564,4.05755313926176
12.7403242832217,4.55917794108311
14.1749107493875,5.05898624716429
15.6094972155525,5.55677414077308
17.0440836817179,6.05234357893538
18.4786701478835,6.54550240206638
19.9132566140487,7.03606434757851
21.3478430802138,7.52384906655572
22.7824295463796,8.00868214255272
24.217016012545,8.49039511159465
25.6516024787099,8.96882548245463
27.0861889448758,9.44381675626254
28.5207754110412,9.91521844453997
29.9553618772065,10.3828860847744
31.3899483433721,10.8466812526384
32.8245348095375,11.3064715700256
34.2591212757024,11.7621307081075
35.6937077418683,12.2135383846318
37.1282942080338,12.660580354765
38.562880674199,13.1031483948355
39.9974671403641,13.5411402783631
41.43205360653,13.9744597438661
42.8666400726955,14.4030164539926
44.3012265388609,14.8267259455808
45.7358130050263,15.2455095703542
47.1703994711922,15.6592944260284
